"Protein_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Swiss.Prot_Hit","SP_E.value","Swiss.Prot_Description","Trembl_Hit","TB_E.value","Trembl_Description","NCBI_hit","nr_E.value","NCBI_Description","GO_Swiss.Prot","GO_Trembl"
"evm.TU.chromosome_7.241",6.55508695149777,2.55560193707854,0.632592190015854,4.0398885370597,5.34766098751029e-05,0.00314428927683358,NA,NA,NA,"tr|A0A2B4SZT4|A0A2B4SZT4_STYPI",2.14e-130,"DnaJ-like subfamily C member 5B OS=Stylophora pistillata GN=DNAJC5B PE=4 SV=1","ref|XP_020614784.1|",0,"uncharacterized protein LOC110052933 [Orbicella faveolata]",NA,""
"evm.TU.chromosome_9.2299",33.015023955692,-2.08316172760677,0.516242943712512,-4.03523525692363,5.45476144598921e-05,0.0031474989958534,"sp|P69526|TMPS9_RAT",1.07e-96,"Transmembrane protease serine 9 OS=Rattus norvegicus GN=Tmprss9 PE=3 SV=1","tr|A0A2B4SI77|A0A2B4SI77_STYPI",6.3e-121,"Transmembrane protease serine 9 OS=Stylophora pistillata GN=TMPRSS9 PE=4 SV=1","ref|XP_020615534.1|",0,"transmembrane protease serine 9-like [Orbicella faveolata]","GO:0005887; GO:0004252; GO:0008236; GO:0031639; GO:0006508","GO:0016021; GO:0004252"
"evm.TU.chromosome_8.1117",35.0086517725684,1.61748166280852,0.401291461577154,4.03069045239961,5.56132454341902e-05,0.00318917932150387,"sp|Q8IMA8|PANG2_DROME",8.77e-57,"Protein pangolin, isoform J OS=Drosophila melanogaster GN=pan PE=1 SV=2","tr|A0A2B4SSJ0|A0A2B4SSJ0_STYPI",0,"Protein pangolin, isoforms A/H/I/S OS=Stylophora pistillata GN=pan PE=4 SV=1","gb|PFX32881.1|",0,"transcription factor 7-like 2 isoform X1 [Stylophora pistillata]","GO:1990907; GO:0005634; GO:0005667; GO:0008013; GO:0019900; GO:0070491; GO:0000980; GO:0003705; GO:0044212; GO:0001205; GO:0060070; GO:0090254; GO:0009880; GO:0007507; GO:0007476; GO:0007500; GO:0045892; GO:0010628; GO:0045944; GO:0045893; GO:0045610; GO:0072091; GO:0006355; GO:0030111; GO:0007435; GO:0007367; GO:0035277","GO:0005634; GO:0003677; GO:0016055"
"evm.TU.chromosome_12.1141",51.7185940111342,-1.14582393126069,0.284581330612655,-4.02634961609719,5.66494411860346e-05,0.00322867060502001,"sp|Q7SXN4|CPEB4_DANRE",3.53e-177,"Cytoplasmic polyadenylation element-binding protein 4 OS=Danio rerio GN=cpeb4 PE=2 SV=1","tr|A0A2B4RHW8|A0A2B4RHW8_STYPI",0,"Cytoplasmic polyadenylation element-binding protein 2 OS=Stylophora pistillata GN=Cpeb2 PE=4 SV=1","ref|XP_020610399.1|",0,"cytoplasmic polyadenylation element-binding protein 2-like [Orbicella faveolata]","GO:0030424; GO:0030054; GO:0005737; GO:0030425; GO:0043197; GO:0005783; GO:0030426; GO:1990124; GO:0043005; GO:0005634; GO:0048471; GO:0014069; GO:0045211; GO:0045202; GO:0003730; GO:0043022; GO:0008135; GO:0000900; GO:0071230; GO:0036294; GO:0042149; GO:0035235; GO:2000766; GO:0043524; GO:0002931","GO:0003730; GO:0045182"
"evm.TU.chromosome_10.198",21.9693888666703,-1.64894713364332,0.413495621271123,-3.98782247941177,6.66825293602465e-05,0.00373181143226922,"sp|O73853|CP17A_ICTPU",1.45e-131,"Steroid 17-alpha-hydroxylase/17,20 lyase OS=Ictalurus punctatus GN=cyp17a1 PE=2 SV=1","tr|A0A2B4RUG4|A0A2B4RUG4_STYPI",0,"Steroid 17-alpha-hydroxylase/17,20 lyase OS=Stylophora pistillata GN=cyp17a1 PE=4 SV=1","ref|XP_020626306.1|",0,"steroid 17-alpha-hydroxylase/17,20 lyase-like [Orbicella faveolata]","GO:0016020; GO:0047442; GO:0020037; GO:0005506; GO:0004508; GO:0007548; GO:0006694","GO:0020037; GO:0005506; GO:0016829; GO:0004497; GO:0016705"
"evm.TU.chromosome_14.7335",37.8817133356176,0.852138509875518,0.213651630897472,3.98844842089899,6.65068590710792e-05,0.00373181143226922,"sp|Q2HJ94|DNJA2_BOVIN",0,"DnaJ homolog subfamily A member 2 OS=Bos taurus GN=DNAJA2 PE=2 SV=1","tr|A0A2B4SBS3|A0A2B4SBS3_STYPI",0,"DnaJ-like subfamily A member 2 OS=Stylophora pistillata GN=DNAJA2 PE=4 SV=1","ref|XP_020614854.1|",0,"dnaJ homolog subfamily A member 2-like [Orbicella faveolata]","GO:0005829; GO:0016020; GO:0005524; GO:0001671; GO:0051087; GO:0031072; GO:0046872; GO:0051082; GO:0042026; GO:0009408","GO:0005524; GO:0031072; GO:0046872; GO:0051082; GO:0006457; GO:0009408"
"evm.TU.chromosome_9.1289",41.7530410843466,1.3495224659251,0.338379402958283,3.98819329464764,6.65784072361637e-05,0.00373181143226922,"sp|P30415|NKTR_MOUSE",1.69e-89,"NK-tumor recognition protein OS=Mus musculus GN=Nktr PE=1 SV=4","tr|A0A2B4S7R4|A0A2B4S7R4_STYPI",2.49e-116,"NK-tumor recognition protein OS=Stylophora pistillata GN=Nktr PE=4 SV=1","ref|XP_020601026.1|",1.15e-179,"peptidyl-prolyl cis-trans isomerase G-like isoform X3 [Orbicella faveolata]","GO:0005829; GO:0005739; GO:0005654; GO:0005886; GO:0003755; GO:0006457","GO:0003755; GO:0006457"
"evm.TU.chromosome_5.1765",90.4989631194454,-0.76382085298015,0.192013989745637,-3.97794376332679,6.95138066132566e-05,0.00386696564932427,"sp|Q7JQD3|GELS1_LUMTE",1.33e-119,"Gelsolin-like protein 1 OS=Lumbricus terrestris GN=AM PE=1 SV=1","tr|A0A2B4ST57|A0A2B4ST57_STYPI",3.24e-152,"Gelsolin-like protein 1 OS=Stylophora pistillata GN=AM PE=4 SV=1","ref|XP_022780605.1|",0,"gelsolin-like protein 1 isoform X2 [Stylophora pistillata]","GO:0005737; GO:0005856; GO:0003779; GO:0051015; GO:0005509; GO:0051693; GO:0030043; GO:0030041; GO:0051014; GO:0045010; GO:0007275","GO:0051015"
"evm.TU.chromosome_14.6186",7.90148016890256,1.82397938685647,0.45931900201548,3.97105144540699,7.15561238354445e-05,0.00393346976586556,"sp|P14316|IRF2_HUMAN",3.39e-30,"Interferon regulatory factor 2 OS=Homo sapiens GN=IRF2 PE=1 SV=2","tr|A7SN00|A7SN00_NEMVE",6.63e-55,"Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g124291 PE=4 SV=1","ref|XP_020613404.1|",0,"uncharacterized protein LOC110051686 isoform X2 [Orbicella faveolata]","GO:0005829; GO:0005925; GO:0005654; GO:0003677; GO:0003700; GO:0000977; GO:0001228; GO:0007596; GO:0008283; GO:0051607; GO:0060333; GO:0000122; GO:0045944; GO:0006355; GO:0060337","GO:0044212"
"evm.TU.chromosome_5.559",19.2288010798719,1.81790208392914,0.457738347283428,3.97148741135187,7.14252756529165e-05,0.00393346976586556,"sp|Q63664|KCNJ8_RAT",5.21e-98,"ATP-sensitive inward rectifier potassium channel 8 OS=Rattus norvegicus GN=Kcnj8 PE=1 SV=1","tr|A0A2B4STI8|A0A2B4STI8_STYPI",0,"G protein-activated inward rectifier potassium channel 3 OS=Stylophora pistillata GN=KCNJ9 PE=4 SV=1","gb|PFX31882.1|",0,"G protein-activated inward rectifier potassium channel 3 [Stylophora pistillata]","GO:0043231; GO:0008282; GO:0016020; GO:0005739; GO:0030016; GO:0042383; GO:0005524; GO:0015272; GO:0017098; GO:1902282; GO:0051607; GO:0007507; GO:0001822; GO:0098915; GO:0010107; GO:1990573; GO:0006813; GO:0034765; GO:0043330; GO:0032496; GO:0009268; GO:0042311","GO:0016021; GO:0005242; GO:0034765"
"evm.TU.chromosome_9.543",33.2475001978483,0.959103382362245,0.241948260208158,3.96408464163822,7.36781093175737e-05,0.00401086624979229,"sp|Q15032|R3HD1_HUMAN",2.49e-57,"R3H domain-containing protein 1 OS=Homo sapiens GN=R3HDM1 PE=1 SV=3","tr|A0A2B4SWV5|A0A2B4SWV5_STYPI",0,"R3H domain-containing protein 1 OS=Stylophora pistillata GN=R3HDM1 PE=4 SV=1","ref|XP_020632825.1|",0,"cAMP-regulated phosphoprotein 21-like isoform X2 [Orbicella faveolata]","GO:0003723","GO:0003676"
"evm.TU.chromosome_14.52",25.8398274663423,-1.33866064999242,0.338092509688355,-3.95945077643501,7.51223254726426e-05,0.00405747909093517,NA,NA,NA,"tr|A0A2B4SS75|A0A2B4SS75_STYPI",2.24e-49,"Baculoviral IAP repeat-containing protein 1 OS=Stylophora pistillata GN=NAIP PE=4 SV=1","ref|XP_015766769.1|",9.71e-89,"PREDICTED: uncharacterized protein LOC107345552 isoform X2 [Acropora digitifera]",NA,"GO:0016021; GO:0043027"
"evm.TU.chromosome_11.214",17.0933843395972,3.44045171978369,0.870424130989467,3.95261527948761,7.73016673982864e-05,0.00414318020559415,NA,NA,NA,"tr|A0A2B4S425|A0A2B4S425_STYPI",1.81e-27,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene9905 PE=4 SV=1","ref|XP_020608721.1|",2.23e-50,"uncharacterized protein LOC110047317 [Orbicella faveolata]",NA,"GO:0016020; GO:0005164; GO:0006955"
"evm.TU.chromosome_5.2161",3.75578397280261,5.22139963923081,1.32255169821209,3.94797394029241,7.88153813885073e-05,0.00414318020559415,"sp|P43141|ADB4C_MELGA",2.88e-19,"Beta-4C adrenergic receptor OS=Meleagris gallopavo GN=ADRB4C PE=2 SV=1","tr|A7RX85|A7RX85_NEMVE",1.14e-22,"Predicted protein OS=Nematostella vectensis GN=v1g203500 PE=3 SV=1","ref|XP_020603834.1|",7.97e-75,"alpha-1A adrenergic receptor-like [Orbicella faveolata]","GO:0016021; GO:0005622; GO:0005886; GO:0004940; GO:0007189; GO:0045823","GO:0016021; GO:0004930"
"evm.TU.chromosome_7.1243",55.2106295047323,3.18403063965888,0.806222181527344,3.94932155504195,7.83730112409979e-05,0.00414318020559415,"sp|P11833|TBB_PARLI",0,"Tubulin beta chain OS=Paracentrotus lividus PE=2 SV=1","tr|Q70SJ8|Q70SJ8_SUBDO",0,"Tubulin beta chain OS=Suberites domuncula GN=tub PE=2 SV=1","ref|XP_020631466.1|",0,"tubulin beta-4B chain [Orbicella faveolata]","GO:0005737; GO:0005874; GO:0005525; GO:0003924; GO:0005200; GO:0007017","GO:0005737; GO:0005874; GO:0005525; GO:0003924; GO:0005200; GO:0007017"
"evm.TU.chromosome_10.2603",7.17160522273657,1.87628241402188,0.476685869543077,3.93609824394497,8.28170806103564e-05,0.00429816021715202,NA,NA,NA,"tr|A0A2B4SZV2|A0A2B4SZV2_STYPI",1.29e-178,"Protein NPAT OS=Stylophora pistillata GN=NPAT PE=4 SV=1","ref|XP_020627399.1|",0,"protein NPAT-like isoform X1 [Orbicella faveolata]",NA,""
"evm.TU.chromosome_10.2908",11.7402190255191,1.84731132416265,0.46996644825528,3.93073022770173,8.46882544432678e-05,0.00437085490987754,"sp|Q55GU0|Y9955_DICDI",1.02e-23,"Probable serine/threonine-protein kinase DDB_G0267514 OS=Dictyostelium discoideum GN=DDB_G0267514 PE=3 SV=1","tr|A0A2B4STU9|A0A2B4STU9_STYPI",0,"Dual specificity protein kinase shkC OS=Stylophora pistillata GN=shkC PE=4 SV=1","gb|PFX34104.1|",0,"probable serine/threonine-protein kinase DDB_G0271682 [Stylophora pistillata]","GO:0005829; GO:0005524; GO:0004674; GO:0004871; GO:0035556","GO:0005524; GO:0004672"
"evm.TU.chromosome_1.1687",167.139991872704,0.804982287126741,0.205168884232454,3.92351057587615,8.72679326150194e-05,0.00447911101653884,"sp|A5D7H5|CASC3_BOVIN",2.32e-11,"Protein CASC3 OS=Bos taurus GN=CASC3 PE=2 SV=1","tr|A0A2B4SKC4|A0A2B4SKC4_STYPI",0,"Protein CASC3 OS=Stylophora pistillata GN=CASC3 PE=4 SV=1","gb|PFX28942.1|",0,"Protein CASC3 [Stylophora pistillata]","GO:0010494; GO:0030425; GO:0035145; GO:0031965; GO:0016607; GO:0048471; GO:0042802; GO:0003723; GO:0031625; GO:0008298; GO:0006397; GO:0051028; GO:0000184; GO:0006417; GO:0008380",""
"evm.TU.chromosome_12.135",181.67812504904,0.693274699164367,0.176781297637506,3.92165182872423,8.79440064670058e-05,0.00448901000043123,"sp|Q8CGF7|TCRG1_MOUSE",0,"Transcription elongation regulator 1 OS=Mus musculus GN=Tcerg1 PE=1 SV=2","tr|A0A2B4RXP9|A0A2B4RXP9_STYPI",0,"Transcription elongation regulator 1-like protein OS=Stylophora pistillata GN=Tcerg1l PE=4 SV=1","ref|XP_020603744.1|",0,"transcription elongation regulator 1-like isoform X2 [Orbicella faveolata]","GO:0005654; GO:0003700; GO:0042802; GO:0070064; GO:0001103; GO:0001106; GO:0000122; GO:0006351",""
"evm.TU.chromosome_12.750",15.9445255594226,1.32259464470741,0.337677766539945,3.91673594107049,8.97559687099937e-05,0.0045564642039117,"sp|O93309|SMC3_XENLA",1.92e-71,"Structural maintenance of chromosomes protein 3 OS=Xenopus laevis GN=smc3 PE=1 SV=2","tr|A7SQ80|A7SQ80_NEMVE",1.62e-76,"Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g50013 PE=4 SV=1","ref|XP_022799106.1|",3.13e-83,"structural maintenance of chromosomes protein 3-like [Stylophora pistillata]","GO:0000785; GO:0000775; GO:0030893; GO:0005634; GO:0005524; GO:0051301; GO:0051276; GO:0006281; GO:0051321; GO:0006275","GO:0005694; GO:0005524; GO:0051276"
"evm.TU.chromosome_11.2916",33.8776776157178,1.07886792851149,0.275952422553001,3.90961571755828,9.24430638654092e-05,0.00466736990929158,"sp|Q80U96|XPO1_RAT",0,"Exportin-1 OS=Rattus norvegicus GN=Xpo1 PE=1 SV=1","tr|A7RWU3|A7RWU3_NEMVE",0,"Predicted protein OS=Nematostella vectensis GN=v1g182854 PE=4 SV=1","gb|KXJ17498.1|",0,"exportin-1-like [Exaiptasia pallida]","GO:0005642; GO:0015030; GO:0005737; GO:0005829; GO:0030529; GO:0000776; GO:0016020; GO:0031965; GO:0005730; GO:0005634; GO:0043234; GO:0005049; GO:0005487; GO:0019904; GO:0008565; GO:0008536; GO:0003723; GO:0051028; GO:0000122; GO:0006913; GO:0006611; GO:0034504; GO:0010824; GO:0042176; GO:0046825; GO:0042493; GO:0000055; GO:0000056; GO:0000054; GO:0042254","GO:0005737; GO:0005634; GO:0005049; GO:0046825; GO:0000055; GO:0000056"
"evm.TU.chromosome_11.3161",12.2709120016462,-1.46074527010442,0.375001094054581,-3.89530935579568,9.80734761003174e-05,0.00492487888092945,"sp|Q01728|NAC1_RAT",0,"Sodium/calcium exchanger 1 OS=Rattus norvegicus GN=Slc8a1 PE=1 SV=3","tr|A0A2B4S6P5|A0A2B4S6P5_STYPI",0,"Sodium/calcium exchanger 1 OS=Stylophora pistillata GN=Slc8a1 PE=4 SV=1","ref|XP_020605885.1|",0,"sodium/calcium exchanger 1-like [Orbicella faveolata]","GO:0016323; GO:0042995; GO:0043198; GO:0043197; GO:0005887; GO:0014704; GO:0031226; GO:0016020; GO:0005874; GO:0005739; GO:0005654; GO:0005886; GO:0045211; GO:0042383; GO:0030315; GO:0030018; GO:0030506; GO:0005509; GO:0005432; GO:0005516; GO:0008092; GO:0099580; GO:0044325; GO:1901660; GO:0055074; GO:0070509; GO:0070588; GO:0006816; GO:0060402; GO:0055013; GO:0060048; GO:0086064; GO:0006874; GO:0071313; GO:0071320; GO:0071456; GO:0034614; GO:0006883; GO:0035050; GO:0001892; GO:0003007; GO:0048747; GO:0051481; GO:0030501; GO:0007204; GO:0010763; GO:0098735; GO:0009791; GO:0051924; GO:0010881; GO:0002027; GO:0002028; GO:0002026; GO:0044557; GO:0033198; GO:0042493; GO:0009749; GO:0042542; GO:0001666; GO:0035902; GO:0035994; GO:0007584; GO:0071436; GO:0097369; GO:0035725; GO:0006814; GO:0021537; GO:0014829","GO:0016021; GO:0005432; GO:0007154"
"evm.TU.chromosome_6.1137",69.6277931512496,-0.791948377372224,0.203558371133868,-3.89052227604734,0.000100028693201625,0.00499605677334998,"sp|Q8WXX0|DYH7_HUMAN",0,"Dynein heavy chain 7, axonemal OS=Homo sapiens GN=DNAH7 PE=1 SV=2","tr|W4ZLI0|W4ZLI0_STRPU",0,"Uncharacterized protein OS=Strongylocentrotus purpuratus PE=4 SV=1","ref|XP_020624937.1|",0,"dynein heavy chain 12, axonemal-like [Orbicella faveolata]","GO:0005858; GO:0005929; GO:0005829; GO:0036156; GO:0005874; GO:0005524; GO:0008569; GO:0005509; GO:0045505; GO:0045503; GO:0051959; GO:0003777; GO:0003341; GO:0060285; GO:0036159","GO:0036156; GO:0005524; GO:0008569; GO:0045505; GO:0045503; GO:0051959; GO:0003341; GO:0036159"
"evm.TU.chromosome_12.153",22.411632721871,1.30094778686487,0.335407680204228,3.87870601553528,0.000105013571343707,0.00521698437317131,"sp|Q5TCZ1|SPD2A_HUMAN",6.7e-49,"SH3 and PX domain-containing protein 2A OS=Homo sapiens GN=SH3PXD2A PE=1 SV=1","tr|A0A2B4RXQ7|A0A2B4RXQ7_STYPI",1.72e-109,"SH3 and PX domain-containing protein 2A OS=Stylophora pistillata GN=SH3PXD2A PE=4 SV=1","ref|XP_020603750.1|",0,"dynamin-binding protein-like isoform X1 [Orbicella faveolata]","GO:0030054; GO:0042995; GO:0005829; GO:0002102; GO:0035091; GO:0016176; GO:0030198; GO:0072675; GO:0055114; GO:0071800; GO:0006801","GO:0035091"
"evm.TU.chromosome_12.3366",4.07854579486381,-2.6619972089157,0.687539706290415,-3.87177232756253,0.000108046851317874,0.00533912366352684,"sp|C5G6D7|CABC2_BACT4",4.95e-61,"Chondroitin sulfate ABC exolyase OS=Bacteroides thetaiotaomicron GN=chonabc PE=1 SV=2","tr|A0A2B4T1D9|A0A2B4T1D9_STYPI",0,"Chondroitin sulfate ABC exolyase OS=Stylophora pistillata GN=chonabc PE=4 SV=1","ref|XP_020627984.1|",0,"uncharacterized protein LOC110065185 [Orbicella faveolata]","GO:0005576; GO:0042597; GO:0005509; GO:0030246; GO:0034000; GO:0034001; GO:0000287; GO:0005975; GO:0030209; GO:0006027","GO:0005576; GO:0030246; GO:0016829; GO:0005975"
"evm.TU.chromosome_13.1162",16.07465824935,1.35315418291542,0.350393823117866,3.86180946591699,0.000112550329612649,0.00551395046857622,"sp|Q8C5T8|CC113_MOUSE",3.09e-95,"Coiled-coil domain-containing protein 113 OS=Mus musculus GN=Ccdc113 PE=2 SV=1","tr|A0A2B4T1I5|A0A2B4T1I5_STYPI",0,"Coiled-coil domain-containing protein 113 OS=Stylophora pistillata GN=Ccdc113 PE=4 SV=1","ref|XP_020625937.1|",0,"coiled-coil domain-containing protein 113-like isoform X1 [Orbicella faveolata]","GO:0034451; GO:0005829; GO:0005654; GO:0043234; GO:0060271",""
"evm.TU.chromosome_13.669",13.5454331631166,-1.70172742565977,0.440710274298489,-3.86132914275379,0.000112771861036543,0.00551395046857622,"sp|Q2PZL6|FAT4_MOUSE",2.46e-89,"Protocadherin Fat 4 OS=Mus musculus GN=Fat4 PE=1 SV=2","tr|A0A2C9JVA7|A0A2C9JVA7_BIOGL",0,"Uncharacterized protein OS=Biomphalaria glabrata PE=4 SV=1","ref|XP_020610732.1|",0,"protocadherin Fat 4-like [Orbicella faveolata]","GO:0045177; GO:0016021; GO:0005622; GO:0005886; GO:0005509; GO:0001658; GO:0021987; GO:0072137; GO:0048565; GO:0001736; GO:0008543; GO:0003007; GO:0007157; GO:0035329; GO:0007156; GO:0060122; GO:0001822; GO:0072006; GO:0022008; GO:0007219; GO:0043931; GO:0007009; GO:0072307","GO:0016021; GO:0005509; GO:0007156"
"evm.TU.chromosome_12.2135",51.3762319871394,1.10271529868904,0.286192930284722,3.85304870246792,0.000116656175546644,0.00567400979491269,"sp|P70490|MFGM_RAT",2.7e-23,"Lactadherin OS=Rattus norvegicus GN=Mfge8 PE=2 SV=1","tr|A0A2B4S6R3|A0A2B4S6R3_STYPI",0,"Contactin-associated protein like 5-3 OS=Stylophora pistillata GN=Cntnap5c PE=4 SV=1","ref|XP_020606006.1|",0,"calponin homology domain-containing protein DDB_G0272472-like [Orbicella faveolata]","GO:0009897; GO:0070062; GO:0031012; GO:0005615; GO:1903561; GO:0019897; GO:0016020; GO:0005178; GO:0008429; GO:0001786; GO:0001525; GO:0007155; GO:0006911; GO:0006910; GO:2000427; GO:0008284; GO:0050766; GO:0043627; GO:0007338","GO:0005509"
"evm.TU.chromosome_13.3794",19.7899778222037,1.28827133436662,0.334684642170399,3.8492095902946,0.00011849958294173,0.00573365169546183,"sp|Q68F67|DEN1A_XENLA",1.41e-132,"DENN domain-containing protein 1A OS=Xenopus laevis GN=dennd1a PE=2 SV=1","tr|A0A2B4RGA5|A0A2B4RGA5_STYPI",0,"DENN domain-containing protein 1A OS=Stylophora pistillata GN=dennd1a PE=4 SV=1","ref|XP_020627299.1|",0,"DENN domain-containing protein 1B-like [Orbicella faveolata]","GO:0030054; GO:0030136; GO:0030665; GO:0042734; GO:1901981; GO:0032266; GO:0017112; GO:0032456; GO:0006897; GO:0043547; GO:0015031",""
"evm.TU.chromosome_13.1134",29.75819096134,-2.0192006317365,0.524779195870361,-3.84771471054145,0.000119224774472671,0.00573885054327,"sp|P86982|IMSP1_RUDPH",3.78e-27,"Insoluble matrix shell protein 1 (Fragment) OS=Ruditapes philippinarum PE=1 SV=1","tr|A0A2B4R630|A0A2B4R630_STYPI",1.63e-91,"Dynein heavy chain 7, axonemal OS=Stylophora pistillata GN=DNAH7 PE=4 SV=1","ref|XP_020623129.1|",2.34e-172,"uncharacterized protein LOC110060684 isoform X1 [Orbicella faveolata]","GO:0005576","GO:0003777; GO:0007018"
"evm.TU.chromosome_10.1137",8.74974552458988,5.78492283883174,1.50478385221627,3.84435467612946,0.000120870086747004,0.00578805724680241,"sp|Q99542|MMP19_HUMAN",6.82e-57,"Matrix metalloproteinase-19 OS=Homo sapiens GN=MMP19 PE=1 SV=1","tr|A0A2B4SLA1|A0A2B4SLA1_STYPI",1.59e-128,"Hatching enzyme OS=Stylophora pistillata GN=AWC38_SpisGene5569 PE=4 SV=1","ref|XP_020608248.1|",4.14e-134,"matrix metalloproteinase-19-like isoform X2 [Orbicella faveolata]","GO:0005576; GO:0005615; GO:0005578; GO:0004222; GO:0004252; GO:0008270; GO:0001525; GO:0030154; GO:0030574; GO:0022617; GO:0001554; GO:0001541; GO:0001542; GO:0006508; GO:0051591; GO:0009725","GO:0031012; GO:0004222; GO:0008270"
"evm.TU.chromosome_12.2891",13.1995497047014,1.10572793971468,0.287784072918836,3.8422138115563,0.000121929546827437,0.00580884866680455,"sp|Q96HJ3|CCD34_HUMAN",1.78e-21,"Coiled-coil domain-containing protein 34 OS=Homo sapiens GN=CCDC34 PE=1 SV=2","tr|A0A2B4SHP4|A0A2B4SHP4_STYPI",2.1e-150,"Coiled-coil domain-containing protein 34 OS=Stylophora pistillata GN=Ccdc34 PE=4 SV=1","ref|XP_020601930.1|",0,"coiled-coil domain-containing protein 34-like [Orbicella faveolata]","",""
"evm.TU.chromosome_13.548",6.01247238003512,2.32395710718099,0.605497650164658,3.83809434528609,0.000123992844639349,0.00584717526243427,"sp|Q9Y2Y9|KLF13_HUMAN",1.81e-44,"Krueppel-like factor 13 OS=Homo sapiens GN=KLF13 PE=1 SV=1","tr|A0A2B4STT2|A0A2B4STT2_STYPI",1.29e-140,"Krueppel-like factor 13 OS=Stylophora pistillata GN=KLF13 PE=4 SV=1","ref|XP_020609663.1|",6.4e-163,"Krueppel-like factor 9 [Orbicella faveolata]","GO:0005634; GO:0046872; GO:0000978; GO:0000981; GO:0001077; GO:0008285; GO:0045647; GO:0006357; GO:0006366","GO:0003676"
"evm.TU.chromosome_9.954",9.11959010751486,1.97779537447011,0.515200519136791,3.83888466918447,0.00012359446465093,0.00584717526243427,"sp|Q14674|ESPL1_HUMAN",1.27e-92,"Separin OS=Homo sapiens GN=ESPL1 PE=1 SV=3","tr|A7RYA6|A7RYA6_NEMVE",0,"Predicted protein OS=Nematostella vectensis GN=v1g241520 PE=4 SV=1","ref|XP_020621180.1|",0,"LOW QUALITY PROTEIN: uncharacterized protein LOC110058860 [Orbicella faveolata]","GO:0005813; GO:0005737; GO:0005829; GO:0072686; GO:0005634; GO:0003824; GO:0004197; GO:0008234; GO:0006915; GO:0000910; GO:0040001; GO:0045143; GO:0051307; GO:0000212; GO:0000070; GO:0045875; GO:0045842","GO:0005813; GO:0005737; GO:0072686; GO:0005634; GO:0004197; GO:0051307"
"evm.TU.chromosome_10.577",13.1014771313166,1.72907468893695,0.450956153942022,3.83424125343957,0.000125952476484886,0.00590958841689189,"sp|Q5TZA2|CROCC_HUMAN",2e-100,"Rootletin OS=Homo sapiens GN=CROCC PE=1 SV=1","tr|A0A2B4RYR7|A0A2B4RYR7_STYPI",0,"Rootletin OS=Stylophora pistillata GN=Crocc PE=4 SV=1","ref|XP_020630521.1|",0,"rootletin-like [Orbicella faveolata]","GO:0015629; GO:0005814; GO:0005813; GO:0035253; GO:0005829; GO:0070062; GO:0001917; GO:0005886; GO:0003779; GO:0019894; GO:0005198; GO:0010457; GO:0007098; GO:0032053; GO:0010669; GO:0051656; GO:0045494; GO:0045724; GO:1903566; GO:0008104; GO:0033365",""
"evm.TU.chromosome_14.7092",16.7948374388255,2.0520145152105,0.53599831405638,3.82839733147865,0.000128980414215484,0.00599114024030925,"sp|Q5XIC0|ECI2_RAT",7.98e-39,"Enoyl-CoA delta isomerase 2, mitochondrial OS=Rattus norvegicus GN=Eci2 PE=1 SV=1","tr|A0A2B4RGU0|A0A2B4RGU0_STYPI",0,"Chromodomain Y-like protein 2 OS=Stylophora pistillata GN=CDYL2 PE=4 SV=1","ref|XP_020617344.1|",0,"testis-specific chromodomain protein Y 1-like isoform X1 [Orbicella faveolata]","GO:0016020; GO:0005739; GO:0005654; GO:0005782; GO:0005777; GO:0004165; GO:0000062; GO:0016863; GO:0005102; GO:0006635; GO:0009062","GO:0005634; GO:0003824; GO:0008152"
"evm.TU.chromosome_8.2127",4.93894102597129,2.4961632914853,0.651936806625838,3.82884240637438,0.000128747413491281,0.00599114024030925,NA,NA,NA,NA,NA,NA,"ref|XP_020617425.1|",2.55e-06,"uncharacterized protein LOC110055381 isoform X1 [Orbicella faveolata]",NA,NA
"evm.TU.chromosome_14.890",9.40425717624724,-1.88605636401761,0.493210140724096,-3.82404214408211,0.00013128145976161,0.00602814191740148,"sp|Q9MYP6|DHB14_BOVIN",1.28e-80,"17-beta-hydroxysteroid dehydrogenase 14 OS=Bos taurus GN=HSD17B14 PE=2 SV=1","tr|A0A2B4RLA1|A0A2B4RLA1_STYPI",5.26e-145,"17-beta-hydroxysteroid dehydrogenase 14 OS=Stylophora pistillata GN=HSD17B14 PE=4 SV=1","ref|XP_020607599.1|",1.76e-148,"17-beta-hydroxysteroid dehydrogenase 14-like [Orbicella faveolata]","GO:0005829; GO:0004303; GO:0042802; GO:0047045; GO:0006706","GO:0016491"
"evm.TU.chromosome_7.2483",36.2579942268604,1.04332263185753,0.272783277096509,3.82473091078971,0.000130914995626731,0.00602814191740148,NA,NA,NA,"tr|A0A2B4SVS9|A0A2B4SVS9_STYPI",5.1e-30,"Hypoxia up-regulated protein 1 OS=Stylophora pistillata GN=Hyou1 PE=4 SV=1","ref|XP_020617355.1|",1e-48,"hypoxia up-regulated protein 1-like [Orbicella faveolata]",NA,"GO:0005634; GO:0005524; GO:0003677; GO:0060964"
